"";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50";"51";"52";"53";"54";"55";"56";"57";"58";"59";"60";"61";"62";"63";"64";"65";"66";"67";"68";"69";"70"
"S464C";3075;3533;3942;334;710;275;802;2574;91;256;254;60;1739;254;273;161;73;1441;709;144;93;2119;712;91;374;154;919;216;106;2533;6859;37;1259;2994;717;73;16;251;0;1765;1548;1273;545;403;12;339;365;643;1138;166;417;68;262;410;373;269;443;158;156;1087;200;1026;252;419;120;253;270;899;327;193
"S495A";12292;8663;8240;809;2088;382;819;12342;267;31;665;111;6337;1667;1611;567;294;1754;5379;765;210;2163;4098;245;75;349;6169;2371;364;4851;6734;27;2228;5845;1159;85;262;847;1;11754;7795;776;345;933;231;394;1251;761;1158;1369;254;1548;1342;2721;736;435;1323;462;158;1614;354;1030;736;1201;150;1744;217;3009;62;572
"S495B";3121;24459;19930;2784;4283;1836;869;8314;602;9884;14398;153;3987;1101;1070;1300;580;2028;4591;1208;180;2619;5587;459;1065;725;3400;1659;160;3274;15477;89;1495;33685;1042;251;460;756;12;10879;5391;6182;1619;1584;1291;353;5122;9144;3089;403;426;1960;710;771;2837;1401;1751;383;3542;4205;2763;5235;2545;1211;265;4017;729;5960;40;863
"S495C";3039;17831;25233;3232;3323;543;1849;18800;584;398;1351;196;11350;2380;1650;1015;768;2724;3929;1043;355;14591;6743;399;1448;1256;3075;1859;237;10020;21559;234;1673;12129;1330;250;733;746;98;7403;8593;6812;892;1803;1213;384;5537;5726;4806;602;297;2282;1210;1505;2806;840;1334;927;3332;2947;1012;2245;431;959;278;3259;623;5072;53;303
"S501A";11009;11182;8827;383;1352;273;722;3708;191;84;445;87;4876;1011;725;338;326;883;2137;338;165;2160;4445;162;164;283;1407;1787;329;9347;18788;58;1342;10606;440;90;90;138;4;7313;3563;371;281;309;11;33;320;383;2520;1383;53;204;60;1407;310;225;308;271;56;1048;288;692;797;719;241;167;117;3134;150;214
"S501B";22561;23145;22201;1670;3388;302;548;12560;260;95;931;87;7412;1953;1396;1039;731;2213;5955;1638;381;1686;11025;373;1417;992;5059;4413;894;23082;24151;82;3217;11241;1000;302;403;774;16;12656;10400;3204;1028;1072;29;139;647;3155;2538;3408;164;558;190;5183;781;676;994;1174;219;3553;1029;2259;1307;1708;833;467;427;5067;412;135
"S501C";20465;23199;23621;2017;3959;288;1602;17920;178;156;648;151;10564;1898;1554;660;873;1935;4205;990;300;4271;6867;232;1998;439;2743;1921;608;15502;21416;41;3321;12062;1011;231;275;253;20;14587;10398;1723;1265;828;12;92;472;2345;2263;2980;106;585;146;2236;523;526;732;953;145;3861;1246;3273;865;1816;290;133;744;2201;340;134
"S516A";20384;9704;9647;830;2706;314;1694;9229;388;57;1567;214;8906;1904;1448;1222;188;1893;5639;1811;210;1892;4218;213;121;1071;4936;1473;791;8517;13214;26;1977;8554;1668;140;110;207;0;16280;8409;573;365;4214;106;383;2623;677;2709;2455;723;201;1106;1980;2510;547;634;186;52;2578;1411;3136;535;1528;754;1969;612;3074;348;1366
"S516B";25004;12870;13047;1352;4274;903;720;16642;275;1128;3168;115;10936;2049;1449;1426;216;2376;7512;3021;286;1651;5923;289;947;1076;8150;2964;1031;16789;21256;73;2827;31546;2030;267;161;353;20;18180;11209;1294;247;1972;34;272;1179;1012;4487;3161;506;117;531;749;1276;339;265;194;44;895;564;1130;1835;1776;630;1013;849;3415;429;1033
"S516C";27449;13945;14364;1683;4060;372;1151;20017;275;111;985;90;13914;2241;1506;981;158;2260;6911;2344;264;5074;4622;178;324;811;5710;1727;993;13454;18741;43;3571;13740;2411;180;225;267;10;22225;11914;836;456;3520;90;319;1576;1029;3747;3052;624;250;949;1480;1897;481;541;344;51;2351;1333;2973;1246;2097;482;996;1164;3024;449;786
"S674A";546;3937;2879;303;199;122;39;890;37;50;149;8;591;88;98;141;34;182;535;179;20;368;679;18;10;111;321;166;51;142;361;61;156;138;177;25;71;95;0;1406;1143;440;68;63;51;15;374;908;129;78;58;79;41;94;294;101;32;98;266;104;60;72;0;108;38;198;29;28;32;25
"S674B";1661;859;899;96;143;96;33;767;32;67;168;11;299;172;237;94;15;246;584;169;22;59;530;16;1;71;704;306;70;157;239;29;164;677;155;4;20;198;0;1357;1080;52;30;105;18;43;161;83;105;140;66;260;117;172;117;21;153;31;48;285;98;221;37;31;23;314;11;274;24;69
"S674C";1818;1122;1125;211;188;74;85;1493;38;192;106;18;479;152;261;79;4;216;665;142;33;217;537;17;2;56;676;310;53;130;166;29;200;250;216;20;29;175;0;1994;1310;74;63;201;18;90;221;118;82;192;64;224;138;96;77;36;138;85;47;289;76;251;23;40;18;175;53;170;41;26
"S753A";3396;14553;13569;2102;775;818;464;6898;242;500;1353;139;6219;707;525;772;498;1901;4100;1678;103;2214;4039;193;148;341;3313;1370;304;7899;19227;46;3761;8734;440;65;25;354;6;10063;5588;306;559;929;1202;836;8660;356;3678;811;625;753;1314;16357;2134;4045;18092;97;1372;30930;17596;32343;600;1349;160;2758;964;4795;86;309
"S753B";3429;15604;16337;3489;1110;929;767;18717;162;453;1173;292;14047;992;370;530;419;1977;3552;1735;164;3290;3705;292;393;476;2900;1280;356;9744;18264;57;5449;9659;521;94;37;267;28;9657;7252;759;433;974;941;676;6799;458;4256;822;392;523;991;13166;1925;3381;12399;175;1148;19613;11018;17868;443;1231;102;2001;1021;2270;83;469
"S753C";4233;19780;22286;3803;1250;1383;2222;18373;238;697;1276;235;12295;1120;661;719;545;2084;3849;1627;132;4972;3423;231;341;323;2764;1246;335;7989;20543;95;7693;12741;488;85;48;243;66;11500;10526;391;457;1199;797;614;6284;267;5874;800;363;684;1066;8249;1745;3416;10095;124;1253;18555;11047;19212;873;1416;106;1607;1643;3652;74;354
"S780A";5384;4305;5657;788;1931;309;190;8222;82;14;495;19;11382;551;140;554;157;3318;2696;697;188;2378;2613;191;364;1698;2400;1244;622;6481;7911;2061;861;4594;1669;49;41;2798;0;5693;3171;1512;753;558;484;1080;3518;1569;3386;2083;6767;5517;1349;2548;7784;272;457;323;3899;916;303;446;46;772;495;2385;153;3561;258;244
"S780B";11447;10716;11465;1754;4353;651;567;12398;412;70;1247;32;14408;1030;522;1477;423;7056;5669;1621;302;3792;5873;468;551;5067;6031;3243;1461;10982;12539;1389;1706;4725;3801;136;113;8173;2;12724;5822;4046;2162;1389;1534;3259;9777;4517;3925;4486;18715;16718;3198;7524;20372;935;1136;1019;12650;3886;1161;1924;134;1947;1425;7817;555;3837;606;595
"S780C";9846;8121;8973;1409;5305;894;1225;12009;674;178;1428;64;12958;894;971;1703;491;7627;6022;1853;336;4866;7278;505;805;4298;6718;4122;1942;11470;13416;1692;1867;3677;3413;102;130;7058;2;8339;4566;3809;1420;1040;1157;2651;7036;2792;4230;4603;11835;9217;2415;4346;16789;491;778;794;9227;2534;570;1028;129;1346;1534;6181;402;9160;556;680
"S832A";6790;12825;14307;1209;3103;475;399;5784;125;28;773;74;6887;596;518;848;264;3347;4933;1061;139;2180;5139;235;34;705;3436;1605;338;12796;17275;310;1607;5301;993;147;397;933;0;11451;6531;2160;1705;743;58;1725;403;701;3293;1287;2140;2134;689;995;1166;445;2669;1303;1889;1032;294;2212;282;761;531;1496;802;2633;105;300
"S832B";7056;14086;17985;1511;2973;758;496;2842;190;6871;5751;108;1406;556;706;738;234;2729;3893;743;114;555;3663;176;72;324;2916;1142;275;2697;6230;374;2088;22990;481;131;274;1183;7;11504;5147;1838;1778;550;73;1365;297;773;3183;651;2240;2049;372;242;626;429;1374;298;1812;1518;783;6018;3970;627;251;1470;1200;6900;78;1503
"S832C";8292;18902;17584;1967;3908;387;1057;6669;298;312;1370;103;3991;661;1626;1405;226;4801;6571;1522;183;2636;6209;379;49;642;5190;2050;514;12735;18628;101;2353;4550;891;148;521;2182;2;11827;6280;1611;1442;1081;136;2227;494;416;3161;1257;2654;2065;860;354;1313;211;2124;781;1801;859;289;2822;424;721;595;1866;1372;4124;87;196
"S923A";30;62;125;13;5;0;0;7;0;0;0;0;3;7;1;2;2;8;2;1;11;1;3;0;1;2;4;2;2;20;5;0;22;13;0;1;0;0;1;21;31;3;2;2;0;1;0;0;4;0;2;0;1;7;2;5;6;0;1;14;1;8;0;0;0;0;6;3;1;0
"S923B";6172;8357;8182;1008;3987;712;683;7003;211;61;1026;118;8347;376;329;745;167;2843;4743;1965;209;1763;6599;220;96;2734;4857;2601;396;11545;15537;832;640;8043;2187;45;50;1573;1;9865;3215;1099;250;824;51;1422;5243;2022;3937;3877;5898;564;4641;5782;14079;1724;891;201;2895;7716;1546;1303;35;785;1937;2490;348;911;600;1831
"S923C";2812;5921;5119;560;2967;578;1360;2743;142;769;1194;233;2083;138;266;178;216;646;1202;465;63;1812;2037;56;245;330;1280;922;122;3589;8274;449;464;38465;485;6;22;653;49;6013;1316;259;149;390;48;654;3043;311;2992;911;3344;351;2496;644;5578;917;2012;43;2035;4087;2179;2785;603;346;278;1087;548;4995;147;431
